feature_set,model,accuracy,precision,recall,f1,roc_auc,train_time_s
All,RandomForest,0.8522727272727273,0.8549618320610687,0.8484848484848485,0.8517110266159695,0.9173840679522498,3.1248362064361572
All,XGBoost,0.8598484848484849,0.8625954198473282,0.8560606060606061,0.8593155893536122,0.8997933884297521,0.4644660949707031
All,LightGBM,0.8446969696969697,0.8273381294964028,0.8712121212121212,0.8487084870848709,0.9005394857667586,5.0479230880737305
RFE,RandomForest,0.8674242424242424,0.8592592592592593,0.8787878787878788,0.8689138576779026,0.910755280073462,1.1276249885559082
RFE,XGBoost,0.8484848484848485,0.8382352941176471,0.8636363636363636,0.8507462686567164,0.9082874196510561,0.3567061424255371
RFE,LightGBM,0.8446969696969697,0.8321167883211679,0.8636363636363636,0.8475836431226765,0.9067952249770432,5.2230730056762695
Boruta,RandomForest,0.8522727272727273,0.849624060150376,0.8560606060606061,0.8528301886792453,0.9191058310376492,1.0308361053466797
Boruta,XGBoost,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.9172405876951332,0.49740099906921387
Boruta,LightGBM,0.8371212121212122,0.8345864661654135,0.8409090909090909,0.8377358490566038,0.9181014692378328,5.108043909072876
GA,RandomForest,0.8446969696969697,0.837037037037037,0.8560606060606061,0.846441947565543,0.9146579430670341,1.0984630584716797
GA,XGBoost,0.8560606060606061,0.8507462686567164,0.8636363636363636,0.8571428571428571,0.9115013774104683,0.3678131103515625
GA,LightGBM,0.8560606060606061,0.8455882352941176,0.8712121212121212,0.8582089552238806,0.9204545454545455,4.931906223297119
PSO,RandomForest,0.8409090909090909,0.8214285714285714,0.8712121212121212,0.8455882352941176,0.9222337006427915,1.0863642692565918
PSO,XGBoost,0.8257575757575758,0.8115942028985508,0.8484848484848485,0.8296296296296296,0.9137396694214877,0.3571760654449463
PSO,LightGBM,0.821969696969697,0.8014184397163121,0.8560606060606061,0.8278388278388278,0.9093778696051424,5.164206027984619
GWO,RandomForest,0.8409090909090909,0.8214285714285714,0.8712121212121212,0.8455882352941176,0.9222337006427915,1.0889499187469482
GWO,XGBoost,0.8257575757575758,0.8115942028985508,0.8484848484848485,0.8296296296296296,0.9137396694214877,0.33042192459106445
GWO,LightGBM,0.821969696969697,0.8014184397163121,0.8560606060606061,0.8278388278388278,0.9093778696051424,5.218456029891968
TopSHAP5,RandomForest,0.7462121212121212,0.7181208053691275,0.8106060606060606,0.7615658362989324,0.8264462809917357,0.9418518543243408
TopSHAP5,XGBoost,0.7196969696969697,0.704225352112676,0.7575757575757576,0.7299270072992701,0.8131600091827365,0.3209381103515625
TopSHAP5,LightGBM,0.7348484848484849,0.7012987012987013,0.8181818181818182,0.7552447552447552,0.8172061524334251,4.86773419380188
